"apartmentId","Location_X","Location_Y","buildingId","participantId"
"1168","-1508.030263020704","5067.192674626147","758",""
"1169","-105.6973505118205","3688.5790032522445","643",""
"1170","-2610.5184815063512","6587.644626145553","436","698"
"1170","-2610.5184815063512","6587.644626145553","436","699"
"1170","-2610.5184815063512","6587.644626145553","436","702"
"1170","-2610.5184815063512","6587.644626145553","436","707"
"1171","-165.5999331295073","5214.852253865081","1003",""
"1172","-1247.4888903940478","5945.403942335569","514",""
"1173","-1531.1328847088653","5597.244219744858","984","648"
"1174","-1730.5657970349366","6174.964099280698","855",""
"1175","-3062.2884042311425","6023.397685584292","399",""
"1176","-463.3161343409744","5770.688394070507","654","718"
"1176","-463.3161343409744","5770.688394070507","654","721"
"1176","-463.3161343409744","5770.688394070507","654","723"
"1177","-1664.8873845475905","6169.220169851887","1026","672"
"1178","-1739.3827521268113","5767.665364442226","414","606"
"1179","-2426.29869133411","6222.441129147122","165","476"
"1180","-469.82102227082703","5943.867019338775","50","155"
"1181","-2617.6002439678923","6871.402310205484","507","454"
"1182","-653.2021646681048","6393.714859328378","673","429"
"1183","-771.5730523385232","5378.048731270377","985","737"
"1183","-771.5730523385232","5378.048731270377","985","741"
"1184","-497.9172402093433","5662.029349780994","654","581"
"1185","-3341.984083186051","5587.368657736281","396","319"
"1186","-3006.1304692527756","5999.317861904392","168","938"
"1187","15.49164600866518","5243.946538390235","833","685"
"1188","-3610.0936121106943","5706.288268656919","358","324"
"1189","-1662.1497492873168","5616.28437419331","203","433"
"1190","-740.1858030803547","5637.848770005285","271",""
"1191","-2741.9301309353727","6851.97126749714","810","205"
"1192","-748.8346994757537","5366.606751644118","985",""
"1193","-439.83737483812854","4091.7407597295023","499",""
"1194","-2401.058309657752","6214.165374816003","165","480"
"1195","-532.2489505367064","5229.883061527234","137","108"
"1196","-68.45479723428569","4416.186995013908","663",""
"1197","-816.272382741947","3907.951274002237","292",""
"1198","-511.5960817230892","6362.843895698503","673","12"
"1199","-105.6973505118205","3807.476197674914","643","659"
"1200","-694.1547645624357","6329.574564276278","77","402"
"1201","-207.44845187574333","5214.852253865081","1003","613"
"1202","-217.91058156230235","5249.317209297349","1003","696"
"1203","-3331.684761000044","5561.706680953195","396","727"
"1204","-275.1028316851913","3616.510098967291","449",""
"1205","-1528.1519634264969","5948.746635966295","523","333"
"1206","-2721.353174109782","6862.8612194660855","810","404"
"1207","-525.2882447971367","4029.2851004659365","325",""
"1208","-469.82102227082703","5922.5896916910115","50",""
"1209","-1972.0560983405658","4803.101299622459","484","464"
"1209","-1972.0560983405658","4803.101299622459","484","465"
"1210","-1292.276742397422","5841.29533162773","734","697"
"1211","-828.3972887155581","3924.8003947488123","292",""
"1212","-1660.487083188059","5948.746635966295","523",""
"1213","-1460.0928628397612","5982.023394905787","488",""
"1214","-1730.5657970349366","6085.754816817689","855","544"
"1215","-1734.997283668829","5715.107685335772","805","444"
"1216","-1845.1054225181472","6223.628607476944","110","38"
"1217","-375.7749693015714","4004.724803092657","499",""
"1218","-1625.8632673924826","6198.707269494145","1026","538"
"1219","-105.6973505118205","3712.3584421367786","643",""
"1220","-2935.1876041584865","6568.611188543104","908",""
"1221","-3422.256915733257","6029.603573653008","442","945"
"1222","-1790.5216166714472","6254.208538501094","835",""
"1223","-1367.3603583659055","5980.334230093113","514","753"
"1224","260.06975944481036","4793.8028444771135","114","654"
"1225","-854.5347141457403","5747.052761842953","504",""
"1226","-758.276276578004","5646.307098996954","271",""
"1227","-2521.2597617842057","6775.141769759931","457","518"
"1228","-486.32666988869386","4029.2851004659365","325",""
"1229","-2625.1240507745365","6221.370149286384","75",""
"1230","-3071.594004654063","6045.059000833063","399","906"
"1231","-2.201149572531972","3467.7464824486233","62","125"
"1232","-192.65682497335098","4291.096430324243","287",""
"1233","-54.60842551946594","5328.444832535462","10","554"
"1234","-1473.0522127691502","5067.192674626147","758",""
"1235","-2642.93180920579","6722.574294868897","581","489"
"1236","-170.4977196465834","3423.559674635429","563",""
"1237","-1988.436894778513","4787.36148604652","484",""
"1238","-490.42848485367756","5933.228355514893","50","556"
"1239","-1551.3343645385485","5650.818929732952","508","27"
"1240","-257.61322822209695","4477.363959952594","287",""
"1241","-740.1858030803547","5637.848770005285","271",""
"1242","-3006.1304692527756","6136.852592082678","168","596"
"1243","-1550.046162256439","5606.726708601213","984","3"
"1244","-2610.5184815063512","6618.97054327486","436","282"
"1245","-165.5999331295073","5260.805527774772","1003","630"
"1246","-667.0948413013051","6034.319915116856","978","711"
"1246","-667.0948413013051","6034.319915116856","978","712"
"1246","-667.0948413013051","6034.319915116856","978","713"
"1246","-667.0948413013051","6034.319915116856","978","717"
"1247","-1670.2879810541003","6254.208538501094","835","49"
"1248","-771.5730523385232","5378.048731270377","985",""
"1249","12.631829182070042","5340.500579439835","713","675"
"1250","-2642.646377498224","6878.9617101747945","507","455"
"1251","-584.8389141438795","6072.416597485497","929","293"
"1252","-2488.473157645238","6224.146035645772","330",""
"1253","-639.9395869294058","5835.836586597316","1017",""
"1254","-1551.3343645385485","5676.174237812989","508","28"
"1255","-2836.347172435512","6577.568004388502","908",""
"1256","427.9248691249813","4739.045298736094","114","953"
"1257","-480.6166872751588","5770.688394070507","654","960"
"1258","-1420.7869686231338","5982.023394905787","488",""
"1259","-2914.3897607305553","5896.1668142706785","168",""
"1260","-532.2489505367064","5202.508753265422","137","545"
"1261","-3375.994636611187","4809.663590611068","470",""
"1262","-3401.8347864707885","4817.964611036156","470",""
"1263","-2004.8176912164604","4771.621672470582","484",""
"1264","-713.3451653741274","6339.595899906177","77","242"
"1265","-1827.5889154431457","6213.014624731367","110","515"
"1266","-1490.5412378949272","5089.588539738686","758",""
"1267","-574.8545408956802","6184.855099073229","898","559"
"1267","-574.8545408956802","6184.855099073229","898","559"
"1267","-574.8545408956802","6184.855099073229","898","559"
"1267","-574.8545408956802","6184.855099073229","898","559"
"1267","-574.8545408956802","6184.855099073229","898","559"
"1267","-574.8545408956802","6184.855099073229","898","559"
"1268","-3374.45498044692","5196.629217472029","611","379"
"1269","-501.2049745494901","6212.625748319062","264","72"
"1270","-966.5226135375581","5833.02660592215","620",""
"1271","-702.3507124533027","6020.318112030914","978",""
"1272","-1845.1054225181472","6223.628607476944","110","482"
"1273","-667.0948413013051","6006.316308944972","978","704"
"1274","-2239.328316946485","5863.511699319407","404",""
"1275","-3375.994636611187","4809.663590611068","470","691"
"1276","-2426.29869133411","6222.441129147122","165","516"
"1277","-737.6065836053002","6006.316308944972","978",""
"1278","-3663.4136697448293","4812.3758241414525","873","327"
"1351","-4139.977518727581","7045.426047307839","545",""
"1352","-3244.688142210003","7225.400418177696","92","928"
"1353","-4416.695042561156","4912.249954495939","748",""
"1354","-4584.344494183642","7495.656932953663","465",""
"1355","-4052.8109206458794","5464.111535592655","896",""
"1356","-4233.998666983089","4988.096189001213","551",""
"1357","-4322.6246669923985","5063.426279452253","235",""
"1358","-4201.0204402863965","4891.392283841669","668","877"
"1359","-4083.8425838652183","5249.007590720792","139",""
"1360","-4578.55748909241","5015.54430776749","95",""
"1361","-3538.2315355629644","7162.6002932874835","143","618"
"1362","-3213.315014336511","6382.94802325138","178",""
"1363","-3319.0105229119213","7516.249751634658","562","936"
"1364","-4039.1732221562415","5249.007590720792","139",""
"1365","-4586.097776446638","4815.025253428146","638","878"
"1366","-4201.0204402863965","4891.392283841669","668","943"
"1367","-4202.027453902426","6880.234013901496","666",""
"1368","-3693.1713080094414","7049.664931309948","768",""
"1369","-4416.26497940234","7613.430462562937","848",""
"1370","-4227.517610997633","7439.645565640758","616",""
"1371","-3134.7739074608485","6298.465427429669","957","650"
"1372","-3600.0497441287544","6558.026736796865","89",""
"1373","-3119.5457590521937","6279.856637380921","957",""
"1374","-4240.854188191495","5326.456347742023","642","998"
"1375","-3821.5251684243713","6445.583704233178","390",""
"1376","-4432.458431321647","4635.60733054454","362","528"
"1377","-3119.5457590521937","6317.074217478417","957",""
"1378","-3769.266951831868","6643.9371493404715","948","890"
"1379","-4079.8422350651927","5075.71588841395","79","912"
"1380","-3810.4546170358453","7158.25513746027","867","905"
"1381","-3673.3867802192894","6943.7790026882485","778",""
"1382","-4491.422467817034","5049.405280376917","415",""
"1383","-3313.834575184353","7410.998461783006","818",""
"1384","-3922.184935930726","5655.636275798803","300","765"
"1385","-4062.5995169211433","5374.95778660315","829",""
"1386","-4568.814577541565","5046.631478745841","95","524"
"1387","-3653.2809292718393","6958.416817249572","778",""
"1388","-4584.368731486514","7155.9069636684535","21","499"
"1389","-4500.973447034674","4816.8881400610535","247","302"
"1390","-4602.758597842296","7604.489701961552","11","263"
"1391","-4068.5739080513963","7040.187826447679","407",""
"1392","-3313.834575184353","7323.2818465817845","818",""
"1393","-4138.639971743418","5464.111535592655","896","857"
"1394","-3286.069076202844","6620.496821973378","815","915"
"1395","-4338.252772636635","7217.675876721237","528","980"
"1396","-3842.923645886846","6429.993027987555","390",""
"1397","-4588.788594815711","7076.2404077290485","288","33"
"1398","-3483.726309376247","6460.971645545169","184",""
"1399","-3920.3785417346553","7113.806642306358","687",""
"1400","-4052.8109206458794","5505.969150083777","896","851"
"1401","-4002.8963568364775","7139.382337615582","407",""
"1402","-3787.2835058194933","7444.296955675183","38",""
"1403","-4160.0972345178025","5495.504746460996","896",""
"1404","-4576.104565512134","7136.203574822169","21","673"
"1405","-4540.795251794218","6999.394029243442","316","410"
"1406","-3594.233653455765","7334.725144714689","1040",""
"1407","-4416.695042561156","4977.450007835247","748","977"
"1408","-3920.3785417346553","7163.711898319493","687",""
"1409","-4292.475664341306","4902.454727302533","551","972"
"1410","-4242.735828860157","5081.3865615235845","667",""
"1411","-3893.849676459249","7448.4341724081205","535","361"
"1412","-4463.741301356779","7068.071620530996","737","796"
"1413","-3323.451449057451","7432.927615583311","818",""
"1414","-3581.037298689358","7172.023379646174","143","619"
"1415","-4499.445899819149","4977.450007835247","748","375"
"1416","-4434.422104212888","7428.9951763507015","468","978"
"1417","-4585.173062094722","4906.278483922188","191",""
"1418","-4115.283920203475","7351.021406601507","99",""
"1419","-4208.9329983659945","5557.091112268996","186","968"
"1420","-4359.956232976078","4838.595589589593","897","735"
"1421","-4129.130489432364","6960.034345846996","785",""
"1422","-4255.048421588328","7164.441147048659","613",""
"1423","-3467.256865457481","6696.251403134467","705",""
"1424","-4130.202984857153","6891.30453948321","565",""
"1425","-4449.8840082154675","7416.02161258647","468",""
"1426","-4584.368731486514","7155.9069636684535","21","548"
"1427","-4074.268183420264","5516.433553706558","896","863"
"1428","-4507.177101861951","7503.549114210993","378","809"
"1429","-4233.8201965357175","7326.64230223635","127","560"
"1430","-3377.2656655605465","6635.6901286041675","705",""
"1431","-3998.5977761677677","6552.870791611558","501","759"
"1432","-4130.202984857153","6891.30453948321","565","848"
"1433","-4475.244076269436","5133.751002248975","883",""
"1434","-4227.336286275546","5374.572809539084","642","546"
"1435","-4307.515858505396","6659.270436138345","310","989"
"1436","-3311.1496739275576","7541.831722834495","562","937"
"1437","-4045.5529659403674","5399.110982880176","829",""
"1438","-4500.939887921801","5116.566482675666","883","276"
"1439","-3997.0758684949005","7372.999529353406","970",""
"1440","-4586.9431311742255","7246.7904683381175","911","562"
"1441","-4191.794124594452","5617.599106368998","186",""
"1442","-3373.332985264014","6448.96019624757","283",""
"1443","-3867.255165438025","7440.728021402516","535","957"
"1444","-3203.833411679996","7213.180296940709","92","932"
"1445","-4434.422104212888","7428.9951763507015","468",""
"1446","-4057.692510296058","6573.4075152679825","501",""
"1447","-3802.489894851786","7281.266886020678","963",""
"1448","-4427.797589566513","7054.325309150965","737","504"
"1449","-4520.133614133648","4895.949941161112","748","376"
"1450","-3267.9265412308396","6628.086768527013","815","929"
"1451","-4258.580996603396","5064.105567084209","667",""
"1452","-4079.646067901919","5399.110982880176","829",""
"1453","-3922.626876156967","7236.8015838257925","976",""
"1454","-3393.061110989168","7157.163565368814","859","949"
